epoch,auxiliary_loss,auxiliary_root_mean_squared_error,loss,lr,original_accuracy,original_loss,val_auxiliary_loss,val_auxiliary_root_mean_squared_error,val_loss,val_original_accuracy,val_original_loss
0,0.014754476957023144,0.1214669793844223,0.32760828733444214,1e-04,0.9322124123573303,0.29073065519332886,0.048539936542510986,0.22032104432582855,0.42583075165748596,0.9828214049339294,0.30446726083755493
1,0.004698822274804115,0.0685477927327156,0.25425684452056885,1e-04,0.9859422445297241,0.24251244962215424,0.040309399366378784,0.2007700651884079,0.3830276131629944,0.9931963086128235,0.2822427749633789
2,0.0039274198934435844,0.06266966462135315,0.23888689279556274,1e-04,0.9887325763702393,0.22907017171382904,0.03404521942138672,0.1845168024301529,0.364462673664093,0.985215961933136,0.2793583273887634
3,0.00330109684728086,0.057455431669950485,0.22705569863319397,1e-04,0.9900398254394531,0.21880386769771576,0.04017960652709007,0.20044463872909546,0.36041730642318726,0.9949146509170532,0.2599645256996155
4,0.002923383843153715,0.054068177938461304,0.21760539710521698,1e-04,0.9906550049781799,0.2103036344051361,0.04191232845187187,0.2047252655029297,0.35511279106140137,0.9955117702484131,0.25032779574394226
5,0.002736458322033286,0.0523105263710022,0.2090027630329132,1e-04,0.9909608960151672,0.2021646797657013,0.037045691162347794,0.1924726665019989,0.3322822153568268,0.994299590587616,0.23966926336288452
6,0.0024767559953033924,0.0497671440243721,0.20072826743125916,1e-04,0.9912529587745667,0.19453679025173187,0.05953076481819153,0.2439892441034317,0.3794269561767578,0.9943143129348755,0.23061387240886688
7,0.0019547019619494677,0.04421151056885719,0.19272379577159882,1e-04,0.9910790324211121,0.18783916532993317,0.045920345932245255,0.2142934650182724,0.33637627959251404,0.9957774877548218,0.2215772569179535
8,0.0016930541023612022,0.04114678502082825,0.1848200112581253,1e-04,0.9913896322250366,0.18059265613555908,0.04218674078583717,0.20539329946041107,0.3195672631263733,0.995620846748352,0.21410363912582397
9,0.0015334211057052016,0.039159197360277176,0.17684289813041687,1e-04,0.9921559691429138,0.17301243543624878,0.04450233653187752,0.2109515517950058,0.3178104758262634,0.9942072033882141,0.20655235648155212
10,0.001355755259282887,0.036820609122514725,0.16994357109069824,1e-04,0.9923482537269592,0.1665559560060501,0.04164076969027519,0.2040596902370453,0.3032158315181732,0.9958786368370056,0.199129119515419
11,0.001273812842555344,0.03569089621305466,0.1640423983335495,1e-04,0.9920585751533508,0.16086119413375854,0.03404521942138672,0.1845168024301529,0.27290141582489014,0.9963197708129883,0.18780389428138733
12,0.0010618680389598012,0.032586719840765,0.15673357248306274,1e-04,0.9925571084022522,0.15408159792423248,0.036714453250169754,0.19160887598991394,0.27556219696998596,0.9958412647247314,0.18379180133342743
13,0.0009656026377342641,0.031075088307261467,0.1503005176782608,1e-04,0.9930120706558228,0.1478883922100067,0.03766708821058273,0.19408027827739716,0.2690736949443817,0.995543360710144,0.174922913312912
14,0.0007925908430479467,0.028153296560049057,0.14388348162174225,1e-04,0.9932843446731567,0.14190588891506195,0.04577153921127319,0.21394401788711548,0.2818244993686676,0.9958616495132446,0.16740833222866058
15,0.0007503124652430415,0.027391918003559113,0.13806644082069397,1e-04,0.9936875104904175,0.13619251549243927,0.041103001683950424,0.20273613929748535,0.2649395167827606,0.9951472878456116,0.16219474375247955
16,0.0006921124295331538,0.02630845457315445,0.13238269090652466,1e-04,0.9939964413642883,0.13065393269062042,0.03889930248260498,0.19722768664360046,0.25718337297439575,0.9945719242095947,0.15992490947246552
17,0.0006044228211976588,0.024585623294115067,0.12705178558826447,1e-04,0.9940172433853149,0.12554290890693665,0.037788230925798416,0.19439183175563812,0.2425771802663803,0.9961161613464355,0.14810073375701904
18,0.0005955772357992828,0.024404915049672127,0.1222698763012886,1e-04,0.993983805179596,0.1207813024520874,0.03827694430947304,0.19564510881900787,0.23728419840335846,0.9960333704948425,0.14159046113491058
19,0.0005379586364142597,0.0231939610093832,0.11706992238759995,1e-04,0.9942833185195923,0.1157282143831253,0.03791088983416557,0.19470402598381042,0.23435963690280914,0.9960640072822571,0.13958612084388733
